"Timestamp UTC";"Timestamp";"Value";"Source";"Measurement";"Unit"
2024-11-20 14.30.00;2024-11-20 21.30.00;152093,359375;"APF.P1";"Voltage L-L Avg High";"V"
2024-11-20 14.30.00;2024-11-20 21.30.00;151625,765625;"APF.P1";"Voltage L-L Avg Low";"V"
2024-11-20 14.30.00;2024-11-20 21.30.00;151830,6875;"APF.P1";"Voltage L-L Avg Mean";"V"
2024-11-20 14.45.00;2024-11-20 21.45.00;152276,984375;"APF.P1";"Voltage L-L Avg High";"V"
2024-11-20 14.45.00;2024-11-20 21.45.00;151830,25;"APF.P1";"Voltage L-L Avg Low";"V"
2024-11-20 14.45.00;2024-11-20 21.45.00;152030,6875;"APF.P1";"Voltage L-L Avg Mean";"V"
2024-11-20 15.00.00;2024-11-20 22.00.00;152335,640625;"APF.P1";"Voltage L-L Avg High";"V"
2024-11-20 15.00.00;2024-11-20 22.00.00;151966,546875;"APF.P1";"Voltage L-L Avg Low";"V"
2024-11-20 15.00.00;2024-11-20 22.00.00;152149,5625;"APF.P1";"Voltage L-L Avg Mean";"V"
2024-11-20 15.15.00;2024-11-20 22.15.00;152293,296875;"APF.P1";"Voltage L-L Avg High";"V"
2024-11-20 15.15.00;2024-11-20 22.15.00;151907,203125;"APF.P1";"Voltage L-L Avg Low";"V"
2024-11-20 15.15.00;2024-11-20 22.15.00;152129,765625;"APF.P1";"Voltage L-L Avg Mean";"V"
2024-11-20 15.30.00;2024-11-20 22.30.00;152506,609375;"APF.P1";"Voltage L-L Avg High";"V"
2024-11-20 15.30.00;2024-11-20 22.30.00;151878,84375;"APF.P1";"Voltage L-L Avg Low";"V"
2024-11-20 15.30.00;2024-11-20 22.30.00;152224,375;"APF.P1";"Voltage L-L Avg Mean";"V"
2024-11-20 15.45.00;2024-11-20 22.45.00;152465,234375;"APF.P1";"Voltage L-L Avg High";"V"
2024-11-20 15.45.00;2024-11-20 22.45.00;151719,75;"APF.P1";"Voltage L-L Avg Low";"V"
2024-11-20 15.45.00;2024-11-20 22.45.00;152127,5;"APF.P1";"Voltage L-L Avg Mean";"V"
2024-11-20 16.00.00;2024-11-20 23.00.00;152187,796875;"APF.P1";"Voltage L-L Avg High";"V"
2024-11-20 16.00.00;2024-11-20 23.00.00;151716,828125;"APF.P1";"Voltage L-L Avg Low";"V"
2024-11-20 16.00.00;2024-11-20 23.00.00;151905,25;"APF.P1";"Voltage L-L Avg Mean";"V"
2024-11-20 16.15.00;2024-11-20 23.15.00;152125,65625;"APF.P1";"Voltage L-L Avg High";"V"
2024-11-20 16.15.00;2024-11-20 23.15.00;151645,96875;"APF.P1";"Voltage L-L Avg Low";"V"
2024-11-20 16.15.00;2024-11-20 23.15.00;151931,765625;"APF.P1";"Voltage L-L Avg Mean";"V"
2024-11-20 16.30.00;2024-11-20 23.30.00;152054,5625;"APF.P1";"Voltage L-L Avg High";"V"
2024-11-20 16.30.00;2024-11-20 23.30.00;151718,75;"APF.P1";"Voltage L-L Avg Low";"V"
2024-11-20 16.30.00;2024-11-20 23.30.00;151897,15625;"APF.P1";"Voltage L-L Avg Mean";"V"
2024-11-20 16.45.00;2024-11-20 23.45.00;152248,46875;"APF.P1";"Voltage L-L Avg High";"V"
2024-11-20 16.45.00;2024-11-20 23.45.00;151757,90625;"APF.P1";"Voltage L-L Avg Low";"V"
2024-11-20 16.45.00;2024-11-20 23.45.00;151976,25;"APF.P1";"Voltage L-L Avg Mean";"V"
2024-11-20 17.00.00;2024-11-21 00.00.00;152287,171875;"APF.P1";"Voltage L-L Avg High";"V"
2024-11-20 17.00.00;2024-11-21 00.00.00;151810,671875;"APF.P1";"Voltage L-L Avg Low";"V"
2024-11-20 17.00.00;2024-11-21 00.00.00;152086,984375;"APF.P1";"Voltage L-L Avg Mean";"V"
2024-11-20 17.15.00;2024-11-21 00.15.00;152374,734375;"APF.P1";"Voltage L-L Avg High";"V"
2024-11-20 17.15.00;2024-11-21 00.15.00;151978,3125;"APF.P1";"Voltage L-L Avg Low";"V"
2024-11-20 17.15.00;2024-11-21 00.15.00;152160,625;"APF.P1";"Voltage L-L Avg Mean";"V"
2024-11-20 17.30.00;2024-11-21 00.30.00;152306,375;"APF.P1";"Voltage L-L Avg High";"V"
2024-11-20 17.30.00;2024-11-21 00.30.00;151960,59375;"APF.P1";"Voltage L-L Avg Low";"V"
2024-11-20 17.30.00;2024-11-21 00.30.00;152127,640625;"APF.P1";"Voltage L-L Avg Mean";"V"
2024-11-20 17.45.00;2024-11-21 00.45.00;152391,359375;"APF.P1";"Voltage L-L Avg High";"V"
2024-11-20 17.45.00;2024-11-21 00.45.00;151898,109375;"APF.P1";"Voltage L-L Avg Low";"V"
2024-11-20 17.45.00;2024-11-21 00.45.00;152177,390625;"APF.P1";"Voltage L-L Avg Mean";"V"
2024-11-20 18.00.00;2024-11-21 01.00.00;152395,5625;"APF.P1";"Voltage L-L Avg High";"V"
2024-11-20 18.00.00;2024-11-21 01.00.00;152060,125;"APF.P1";"Voltage L-L Avg Low";"V"
2024-11-20 18.00.00;2024-11-21 01.00.00;152251,625;"APF.P1";"Voltage L-L Avg Mean";"V"
2024-11-20 18.15.00;2024-11-21 01.15.00;152365,421875;"APF.P1";"Voltage L-L Avg High";"V"
2024-11-20 18.15.00;2024-11-21 01.15.00;152101,046875;"APF.P1";"Voltage L-L Avg Low";"V"
2024-11-20 18.15.00;2024-11-21 01.15.00;152242,21875;"APF.P1";"Voltage L-L Avg Mean";"V"
2024-11-20 18.30.00;2024-11-21 01.30.00;152435,296875;"APF.P1";"Voltage L-L Avg High";"V"
2024-11-20 18.30.00;2024-11-21 01.30.00;152148,171875;"APF.P1";"Voltage L-L Avg Low";"V"
2024-11-20 18.30.00;2024-11-21 01.30.00;152289,421875;"APF.P1";"Voltage L-L Avg Mean";"V"
2024-11-20 18.45.00;2024-11-21 01.45.00;152530,609375;"APF.P1";"Voltage L-L Avg High";"V"
2024-11-20 18.45.00;2024-11-21 01.45.00;152182,421875;"APF.P1";"Voltage L-L Avg Low";"V"
2024-11-20 18.45.00;2024-11-21 01.45.00;152357,984375;"APF.P1";"Voltage L-L Avg Mean";"V"
2024-11-20 19.00.00;2024-11-21 02.00.00;152727,84375;"APF.P1";"Voltage L-L Avg High";"V"
2024-11-20 19.00.00;2024-11-21 02.00.00;152314,34375;"APF.P1";"Voltage L-L Avg Low";"V"
2024-11-20 19.00.00;2024-11-21 02.00.00;152504,421875;"APF.P1";"Voltage L-L Avg Mean";"V"
2024-11-20 19.15.00;2024-11-21 02.15.00;152801,40625;"APF.P1";"Voltage L-L Avg High";"V"
2024-11-20 19.15.00;2024-11-21 02.15.00;152456,796875;"APF.P1";"Voltage L-L Avg Low";"V"
2024-11-20 19.15.00;2024-11-21 02.15.00;152633,4375;"APF.P1";"Voltage L-L Avg Mean";"V"
2024-11-20 19.30.00;2024-11-21 02.30.00;152836,21875;"APF.P1";"Voltage L-L Avg High";"V"
2024-11-20 19.30.00;2024-11-21 02.30.00;152141,03125;"APF.P1";"Voltage L-L Avg Low";"V"
2024-11-20 19.30.00;2024-11-21 02.30.00;152584,59375;"APF.P1";"Voltage L-L Avg Mean";"V"
2024-11-20 19.45.00;2024-11-21 02.45.00;152434,828125;"APF.P1";"Voltage L-L Avg High";"V"
2024-11-20 19.45.00;2024-11-21 02.45.00;152104,828125;"APF.P1";"Voltage L-L Avg Low";"V"
2024-11-20 19.45.00;2024-11-21 02.45.00;152258,359375;"APF.P1";"Voltage L-L Avg Mean";"V"
2024-11-20 20.00.00;2024-11-21 03.00.00;152448,6875;"APF.P1";"Voltage L-L Avg High";"V"
2024-11-20 20.00.00;2024-11-21 03.00.00;152087,21875;"APF.P1";"Voltage L-L Avg Low";"V"
2024-11-20 20.00.00;2024-11-21 03.00.00;152293,6875;"APF.P1";"Voltage L-L Avg Mean";"V"
2024-11-20 20.15.00;2024-11-21 03.15.00;152479,546875;"APF.P1";"Voltage L-L Avg High";"V"
2024-11-20 20.15.00;2024-11-21 03.15.00;152128,28125;"APF.P1";"Voltage L-L Avg Low";"V"
2024-11-20 20.15.00;2024-11-21 03.15.00;152298,328125;"APF.P1";"Voltage L-L Avg Mean";"V"
2024-11-20 20.30.00;2024-11-21 03.30.00;152471,71875;"APF.P1";"Voltage L-L Avg High";"V"
2024-11-20 20.30.00;2024-11-21 03.30.00;152163,03125;"APF.P1";"Voltage L-L Avg Low";"V"
2024-11-20 20.30.00;2024-11-21 03.30.00;152337,078125;"APF.P1";"Voltage L-L Avg Mean";"V"
2024-11-20 20.45.00;2024-11-21 03.45.00;152480,375;"APF.P1";"Voltage L-L Avg High";"V"
2024-11-20 20.45.00;2024-11-21 03.45.00;152137,34375;"APF.P1";"Voltage L-L Avg Low";"V"
2024-11-20 20.45.00;2024-11-21 03.45.00;152291,828125;"APF.P1";"Voltage L-L Avg Mean";"V"
2024-11-20 21.00.00;2024-11-21 04.00.00;152453,609375;"APF.P1";"Voltage L-L Avg High";"V"
2024-11-20 21.00.00;2024-11-21 04.00.00;152045,3125;"APF.P1";"Voltage L-L Avg Low";"V"
2024-11-20 21.00.00;2024-11-21 04.00.00;152233,125;"APF.P1";"Voltage L-L Avg Mean";"V"
2024-11-20 21.15.00;2024-11-21 04.15.00;152479,40625;"APF.P1";"Voltage L-L Avg High";"V"
2024-11-20 21.15.00;2024-11-21 04.15.00;151796,5625;"APF.P1";"Voltage L-L Avg Low";"V"
2024-11-20 21.15.00;2024-11-21 04.15.00;152109,96875;"APF.P1";"Voltage L-L Avg Mean";"V"
2024-11-20 21.30.00;2024-11-21 04.30.00;152189,03125;"APF.P1";"Voltage L-L Avg High";"V"
2024-11-20 21.30.00;2024-11-21 04.30.00;151605,359375;"APF.P1";"Voltage L-L Avg Low";"V"
2024-11-20 21.30.00;2024-11-21 04.30.00;151834,140625;"APF.P1";"Voltage L-L Avg Mean";"V"
2024-11-20 21.45.00;2024-11-21 04.45.00;151807,28125;"APF.P1";"Voltage L-L Avg High";"V"
2024-11-20 21.45.00;2024-11-21 04.45.00;151469,40625;"APF.P1";"Voltage L-L Avg Low";"V"
2024-11-20 21.45.00;2024-11-21 04.45.00;151638,015625;"APF.P1";"Voltage L-L Avg Mean";"V"
2024-11-20 22.00.00;2024-11-21 05.00.00;151713,625;"APF.P1";"Voltage L-L Avg High";"V"
2024-11-20 22.00.00;2024-11-21 05.00.00;151292,765625;"APF.P1";"Voltage L-L Avg Low";"V"
2024-11-20 22.00.00;2024-11-21 05.00.00;151485,234375;"APF.P1";"Voltage L-L Avg Mean";"V"
2024-11-20 22.15.00;2024-11-21 05.15.00;151601,171875;"APF.P1";"Voltage L-L Avg High";"V"
2024-11-20 22.15.00;2024-11-21 05.15.00;151188,6875;"APF.P1";"Voltage L-L Avg Low";"V"
2024-11-20 22.15.00;2024-11-21 05.15.00;151396,34375;"APF.P1";"Voltage L-L Avg Mean";"V"
2024-11-20 22.30.00;2024-11-21 05.30.00;151679,734375;"APF.P1";"Voltage L-L Avg High";"V"
2024-11-20 22.30.00;2024-11-21 05.30.00;151206,25;"APF.P1";"Voltage L-L Avg Low";"V"
2024-11-20 22.30.00;2024-11-21 05.30.00;151410,890625;"APF.P1";"Voltage L-L Avg Mean";"V"
2024-11-20 22.45.00;2024-11-21 05.45.00;151821,5;"APF.P1";"Voltage L-L Avg High";"V"
2024-11-20 22.45.00;2024-11-21 05.45.00;151305,109375;"APF.P1";"Voltage L-L Avg Low";"V"
2024-11-20 22.45.00;2024-11-21 05.45.00;151590,25;"APF.P1";"Voltage L-L Avg Mean";"V"
2024-11-20 23.00.00;2024-11-21 06.00.00;151746,921875;"APF.P1";"Voltage L-L Avg High";"V"
2024-11-20 23.00.00;2024-11-21 06.00.00;151436,546875;"APF.P1";"Voltage L-L Avg Low";"V"
2024-11-20 23.00.00;2024-11-21 06.00.00;151578,140625;"APF.P1";"Voltage L-L Avg Mean";"V"
2024-11-20 23.15.00;2024-11-21 06.15.00;151817,078125;"APF.P1";"Voltage L-L Avg High";"V"
2024-11-20 23.15.00;2024-11-21 06.15.00;151351,03125;"APF.P1";"Voltage L-L Avg Low";"V"
2024-11-20 23.15.00;2024-11-21 06.15.00;151556,390625;"APF.P1";"Voltage L-L Avg Mean";"V"
2024-11-20 23.30.00;2024-11-21 06.30.00;151610,234375;"APF.P1";"Voltage L-L Avg High";"V"
2024-11-20 23.30.00;2024-11-21 06.30.00;151265,765625;"APF.P1";"Voltage L-L Avg Low";"V"
2024-11-20 23.30.00;2024-11-21 06.30.00;151462,546875;"APF.P1";"Voltage L-L Avg Mean";"V"
2024-11-20 23.45.00;2024-11-21 06.45.00;151914,6875;"APF.P1";"Voltage L-L Avg High";"V"
2024-11-20 23.45.00;2024-11-21 06.45.00;151309,875;"APF.P1";"Voltage L-L Avg Low";"V"
2024-11-20 23.45.00;2024-11-21 06.45.00;151652,640625;"APF.P1";"Voltage L-L Avg Mean";"V"
2024-11-21 00.00.00;2024-11-21 07.00.00;152245,703125;"APF.P1";"Voltage L-L Avg High";"V"
2024-11-21 00.00.00;2024-11-21 07.00.00;151572,40625;"APF.P1";"Voltage L-L Avg Low";"V"
2024-11-21 00.00.00;2024-11-21 07.00.00;151971,875;"APF.P1";"Voltage L-L Avg Mean";"V"
2024-11-21 00.15.00;2024-11-21 07.15.00;152028,515625;"APF.P1";"Voltage L-L Avg High";"V"
2024-11-21 00.15.00;2024-11-21 07.15.00;151044,328125;"APF.P1";"Voltage L-L Avg Low";"V"
2024-11-21 00.15.00;2024-11-21 07.15.00;151524,609375;"APF.P1";"Voltage L-L Avg Mean";"V"
2024-11-21 00.30.00;2024-11-21 07.30.00;151302,8125;"APF.P1";"Voltage L-L Avg High";"V"
2024-11-21 00.30.00;2024-11-21 07.30.00;150880,4375;"APF.P1";"Voltage L-L Avg Low";"V"
2024-11-21 00.30.00;2024-11-21 07.30.00;151097,25;"APF.P1";"Voltage L-L Avg Mean";"V"
2024-11-21 00.45.00;2024-11-21 07.45.00;151099,53125;"APF.P1";"Voltage L-L Avg High";"V"
2024-11-21 00.45.00;2024-11-21 07.45.00;150450,09375;"APF.P1";"Voltage L-L Avg Low";"V"
2024-11-21 00.45.00;2024-11-21 07.45.00;150754,953125;"APF.P1";"Voltage L-L Avg Mean";"V"
2024-11-21 01.00.00;2024-11-21 08.00.00;151113,65625;"APF.P1";"Voltage L-L Avg High";"V"
2024-11-21 01.00.00;2024-11-21 08.00.00;150442,4375;"APF.P1";"Voltage L-L Avg Low";"V"
2024-11-21 01.00.00;2024-11-21 08.00.00;150819,140625;"APF.P1";"Voltage L-L Avg Mean";"V"
2024-11-21 01.15.00;2024-11-21 08.15.00;150983,984375;"APF.P1";"Voltage L-L Avg High";"V"
2024-11-21 01.15.00;2024-11-21 08.15.00;150261,765625;"APF.P1";"Voltage L-L Avg Low";"V"
2024-11-21 01.15.00;2024-11-21 08.15.00;150665,34375;"APF.P1";"Voltage L-L Avg Mean";"V"
2024-11-21 01.30.00;2024-11-21 08.30.00;150518,28125;"APF.P1";"Voltage L-L Avg High";"V"
2024-11-21 01.30.00;2024-11-21 08.30.00;149859,953125;"APF.P1";"Voltage L-L Avg Low";"V"
2024-11-21 01.30.00;2024-11-21 08.30.00;150201,28125;"APF.P1";"Voltage L-L Avg Mean";"V"
2024-11-21 01.45.00;2024-11-21 08.45.00;152097,375;"APF.P1";"Voltage L-L Avg High";"V"
2024-11-21 01.45.00;2024-11-21 08.45.00;149929,203125;"APF.P1";"Voltage L-L Avg Low";"V"
2024-11-21 01.45.00;2024-11-21 08.45.00;151799,375;"APF.P1";"Voltage L-L Avg Mean";"V"
2024-11-21 02.00.00;2024-11-21 09.00.00;151814,84375;"APF.P1";"Voltage L-L Avg High";"V"
2024-11-21 02.00.00;2024-11-21 09.00.00;151213,625;"APF.P1";"Voltage L-L Avg Low";"V"
2024-11-21 02.00.00;2024-11-21 09.00.00;151595,625;"APF.P1";"Voltage L-L Avg Mean";"V"
2024-11-21 02.15.00;2024-11-21 09.15.00;151562,1875;"APF.P1";"Voltage L-L Avg High";"V"
2024-11-21 02.15.00;2024-11-21 09.15.00;151148,171875;"APF.P1";"Voltage L-L Avg Low";"V"
2024-11-21 02.15.00;2024-11-21 09.15.00;151339,28125;"APF.P1";"Voltage L-L Avg Mean";"V"
2024-11-21 02.30.00;2024-11-21 09.30.00;151466,921875;"APF.P1";"Voltage L-L Avg High";"V"
2024-11-21 02.30.00;2024-11-21 09.30.00;151081,875;"APF.P1";"Voltage L-L Avg Low";"V"
2024-11-21 02.30.00;2024-11-21 09.30.00;151263,109375;"APF.P1";"Voltage L-L Avg Mean";"V"
2024-11-21 02.45.00;2024-11-21 09.45.00;151482,796875;"APF.P1";"Voltage L-L Avg High";"V"
2024-11-21 02.45.00;2024-11-21 09.45.00;151215,46875;"APF.P1";"Voltage L-L Avg Low";"V"
2024-11-21 02.45.00;2024-11-21 09.45.00;151359,375;"APF.P1";"Voltage L-L Avg Mean";"V"
2024-11-21 03.00.00;2024-11-21 10.00.00;151426,359375;"APF.P1";"Voltage L-L Avg High";"V"
2024-11-21 03.00.00;2024-11-21 10.00.00;150845,859375;"APF.P1";"Voltage L-L Avg Low";"V"
2024-11-21 03.00.00;2024-11-21 10.00.00;151149,953125;"APF.P1";"Voltage L-L Avg Mean";"V"